_id,exam_name,exam_number,exam_sub,exam_sub_id,exam_term,exam_score,stu_id,stu_rank,cla_id
1,2018-1学期期中考试,304,政治,17,2018-2019-1,95,14498,1,901
2,2018-1学期期中考试,304,政治,17,2018-2019-1,95,14457,2,901
3,2018-1学期期中考试,304,政治,17,2018-2019-1,88,14454,3,901
4,2018-1学期期中考试,304,政治,17,2018-2019-1,88,14501,4,901
5,2018-1学期期中考试,304,政治,17,2018-2019-1,88,14461,5,901
6,2018-1学期期中考试,304,政治,17,2018-2019-1,88,14478,6,901
7,2018-1学期期中考试,304,政治,17,2018-2019-1,87,14505,7,901
8,2018-1学期期中考试,304,政治,17,2018-2019-1,86,14455,8,901
9,2018-1学期期中考试,304,政治,17,2018-2019-1,86,14492,9,901
10,2018-1学期期中考试,304,政治,17,2018-2019-1,86,14472,10,901
11,2018-1学期期中考试,304,政治,17,2018-2019-1,85,14504,11,901
12,2018-1学期期中考试,304,政治,17,2018-2019-1,85,14466,12,901
13,2018-1学期期中考试,304,政治,17,2018-2019-1,85,14468,13,901
14,2018-1学期期中考试,304,政治,17,2018-2019-1,85,14470,14,901
15,2018-1学期期中考试,304,政治,17,2018-2019-1,84,14459,15,901
16,2018-1学期期中考试,304,政治,17,2018-2019-1,83,14465,16,901
17,2018-1学期期中考试,304,政治,17,2018-2019-1,82,14491,17,901
18,2018-1学期期中考试,304,政治,17,2018-2019-1,82,14494,18,901
19,2018-1学期期中考试,304,政治,17,2018-2019-1,81,14479,19,901
20,2018-1学期期中考试,304,政治,17,2018-2019-1,81,14503,20,901
21,2018-1学期期中考试,304,政治,17,2018-2019-1,81,14469,21,901
22,2018-1学期期中考试,304,政治,17,2018-2019-1,81,14471,22,901
23,2018-1学期期中考试,304,政治,17,2018-2019-1,80,14462,23,901
24,2018-1学期期中考试,304,政治,17,2018-2019-1,80,14463,24,901
25,2018-1学期期中考试,304,政治,17,2018-2019-1,80,14475,25,901
26,2018-1学期期中考试,304,政治,17,2018-2019-1,78,14506,26,901
27,2018-1学期期中考试,304,政治,17,2018-2019-1,78,14474,27,901
28,2018-1学期期中考试,304,政治,17,2018-2019-1,77,14500,28,901
29,2018-1学期期中考试,304,政治,17,2018-2019-1,77,14467,29,901
30,2018-1学期期中考试,304,政治,17,2018-2019-1,76,14502,30,901
31,2018-1学期期中考试,304,政治,17,2018-2019-1,76,14473,31,901
32,2018-1学期期中考试,304,政治,17,2018-2019-1,75,14489,32,901
33,2018-1学期期中考试,304,政治,17,2018-2019-1,75,14458,33,901
34,2018-1学期期中考试,304,政治,17,2018-2019-1,74,14483,34,901
35,2018-1学期期中考试,304,政治,17,2018-2019-1,74,14476,35,901
36,2018-1学期期中考试,304,政治,17,2018-2019-1,73,14486,36,901
37,2018-1学期期中考试,304,政治,17,2018-2019-1,73,14496,37,901
38,2018-1学期期中考试,304,政治,17,2018-2019-1,72,14508,38,901
39,2018-1学期期中考试,304,政治,17,2018-2019-1,71,14499,39,901
40,2018-1学期期中考试,304,政治,17,2018-2019-1,69,14488,40,901
41,2018-1学期期中考试,304,政治,17,2018-2019-1,68,14507,41,901
42,2018-1学期期中考试,304,政治,17,2018-2019-1,65,14493,42,901
43,2018-1学期期中考试,304,政治,17,2018-2019-1,65,14511,43,901
44,2018-1学期期中考试,304,政治,17,2018-2019-1,62,14481,44,901
45,2018-1学期期中考试,304,地理,8,2018-2019-1,71,14461,1,901
46,2018-1学期期中考试,304,历史,7,2018-2019-1,90,14472,1,901
47,2018-1学期期中考试,304,历史,7,2018-2019-1,82,14458,2,901
48,2018-1学期期中考试,304,历史,7,2018-2019-1,74,14455,3,901
49,2018-1学期期中考试,304,历史,7,2018-2019-1,73,14454,4,901
50,2018-1学期期中考试,304,历史,7,2018-2019-1,65,14470,5,901
51,2018-1学期期中考试,304,生物,6,2018-2019-1,95,14505,1,901
52,2018-1学期期中考试,304,生物,6,2018-2019-1,94,14478,2,901
53,2018-1学期期中考试,304,生物,6,2018-2019-1,93,14501,3,901
54,2018-1学期期中考试,304,生物,6,2018-2019-1,93,14462,4,901
55,2018-1学期期中考试,304,生物,6,2018-2019-1,92,14457,5,901
56,2018-1学期期中考试,304,生物,6,2018-2019-1,92,14470,6,901
57,2018-1学期期中考试,304,生物,6,2018-2019-1,91,14479,7,901
58,2018-1学期期中考试,304,生物,6,2018-2019-1,91,14463,8,901
59,2018-1学期期中考试,304,生物,6,2018-2019-1,91,14466,9,901
60,2018-1学期期中考试,304,生物,6,2018-2019-1,90,14458,10,901
61,2018-1学期期中考试,304,生物,6,2018-2019-1,90,14459,11,901
